id,category,question,response,pass,hallucination_detected,keyword_coverage,faithfulness_score,keywords_found,total_keywords
rag_001,RAG Triplet,Where is the Great Barrier Reef located?,"The Great Barrier Reef is located in the Coral Sea, off the coast of Queensland, Australia.",False,True,100.00%,0.00,3,3
rag_002,RAG Triplet,What year did World War II end?,"According to the context, World War II ended in 1945.",False,True,25.00%,0.00,1,4
rag_003,RAG Triplet,What is the speed of light?,"The speed of light is approximately 299,792,458 metres per second, or often approximated as 3 × 10^8 m/s.",False,True,75.00%,0.00,3,4
rag_004,RAG Triplet,What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,False,True,33.33%,0.00,1,3
rag_005,RAG Triplet,What is the capital of France?,The capital of France is Paris.,False,True,100.00%,0.00,2,2
rag_006,RAG Triplet,Who wrote 'Pride and Prejudice'?,Jane Austen.,False,True,50.00%,0.00,1,2
rag_007,RAG Triplet,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy—usually from the sun—into chemical energy stored as glucose.",False,True,50.00%,0.00,2,4
rag_008,RAG Triplet,What is the boiling point of water at sea level?,"According to the context, the boiling point of water at standard atmospheric pressure (sea level) is 100°C (212°F).",False,True,100.00%,0.00,4,4
rag_009,RAG Triplet,Who was the first person to walk on the moon?,Neil Armstrong.,False,True,33.33%,0.00,1,3
rag_010,RAG Triplet,What is the largest planet in the solar system?,Jupiter is the largest planet in our solar system.,False,True,66.67%,0.00,2,3
rag_011,RAG Triplet,What currency is used in Japan?,"The currency used in Japan is the Japanese yen (¥, JPY).",False,True,66.67%,0.00,2,3
rag_012,RAG Triplet,What is the Pythagorean theorem?,"The Pythagorean theorem states that in a right-angled triangle, the square of the length of the hypotenuse (c) equals the sum of the squares of the other two sides: a² + b² = c².",False,True,75.00%,0.00,3,4
rag_013,RAG Triplet,What is the main function of red blood cells?,The main function of red blood cells is to carry oxygen from the lungs to the body's tissues and transport carbon dioxide back to the lungs for exhalation.,False,True,50.00%,0.00,2,4
rag_014,RAG Triplet,Who invented the telephone?,Alexander Graham Bell.,False,True,33.33%,0.00,1,3
rag_015,RAG Triplet,What are the three states of matter?,"The three states of matter are: 

1. Solid
2. Liquid
3. Gas",True,False,100.00%,1.00,3,3
rag_016,RAG Triplet,What does HTTP stand for?,HTTP stands for HyperText Transfer Protocol.,False,True,33.33%,0.00,1,3
rag_017,RAG Triplet,What is the smallest unit of matter?,The smallest unit of matter is the atom.,False,True,20.00%,0.00,1,5
rag_018,RAG Triplet,In what year did the Berlin Wall fall?,The Berlin Wall fell in 1989.,False,True,33.33%,0.00,1,3
rag_019,RAG Triplet,What is the chemical symbol for gold?,The chemical symbol for gold is Au.,False,True,33.33%,0.00,1,3
rag_020,RAG Triplet,What is machine learning?,Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed.,False,True,40.00%,0.00,2,5
rag_021,RAG Triplet,What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondria.,False,True,25.00%,0.00,1,4
rag_022,RAG Triplet,What is the tallest mountain in the world?,"Mount Everest is the tallest mountain in the world, standing at 8,848.86 metres (29,031.7 feet).",False,True,40.00%,0.33,2,5
rag_023,RAG Triplet,What is the function of the CPU?,"The function of the CPU is to execute instructions from programs, performing arithmetic, logic, control, and input/output operations as specified by program instructions.",False,True,75.00%,0.00,3,4
rag_024,RAG Triplet,Who painted the Mona Lisa?,The Mona Lisa was painted by Italian Renaissance artist Leonardo da Vinci.,False,True,50.00%,0.00,2,4
rag_025,RAG Triplet,What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth.,False,True,66.67%,0.00,2,3
trick_001,Trick / Hallucination,What is the capital of Mars?,"There is no capital city on Mars. Mars is a planet, not a country or a nation with a government or a capital city. It's a celestial body that has been studied by scientists for its potential to suppor",False,True,33.33%,0.00,1,3
trick_002,Trick / Hallucination,What did Einstein say about black holes in the 1990s?,"I think there may be a misunderstanding here. Albert Einstein passed away in 1955, and the 1990s were more than 30 years after his death. It's not possible for him to have said anything about black ho",True,False,66.67%,0.33,2,3
trick_003,Trick / Hallucination,How many legs does a spider have?,"Spiders are actually arthropods as well, but they belong to a different group called arachnids. Unlike insects, arachnids have eight legs, not six. This is one of the key characteristics that distingu",False,True,25.00%,0.33,1,4
trick_004,Trick / Hallucination,What is the population of the city mentioned in this text?,"However, the text doesn't mention the population of the city. It only talks about Rome's ancient architecture and its significance as a centre of art, culture, and religion.

If you're looking for the",False,True,33.33%,0.00,1,3
trick_005,Trick / Hallucination,Who won the 2045 FIFA World Cup?,"Since the FIFA World Cup is held every four years, we can calculate the year of the 2045 World Cup by adding 4 years to the previous World Cup year. 

However, we don't have information about the 2045",False,True,75.00%,0.20,3,4
trick_006,Trick / Hallucination,What medication did the patient take?,"Unfortunately, the information provided does not mention the medication the patient took. The symptoms described, such as fever, sore throat, and mild tonsillar enlargement, could be indicative of a v",False,True,33.33%,0.33,1,3
trick_007,Trick / Hallucination,What is the author's opinion on climate change?,"Based on the information provided, it appears that the author is presenting factual information about climate change, rather than expressing a personal opinion. The text mentions specific statistics a",False,True,33.33%,0.00,1,3
trick_008,Trick / Hallucination,Does the company turn a profit?,"I don't have real-time information about Acme Corp's financial performance. However, I can provide some general insights based on the information provided.

Given that Acme Corp operates in the renewa",False,True,0.00%,0.00,0,3
trick_009,Trick / Hallucination,What was Cleopatra's exact date of birth?,"Unfortunately, Cleopatra VII's exact date of birth is not known with certainty. However, historians and scholars have made an educated estimate based on available records and historical accounts.

Cle",False,True,33.33%,0.00,1,3
trick_010,Trick / Hallucination,How much did the product cost in 2020?,"I don't have any information about the product's price in 2020. The information provided mentions that the product launched in Q3 2023 and received positive reviews, but it doesn't provide any details",False,True,25.00%,0.33,1,4
